tax_year,employment_duration_group,tax_status,salary_class_index,salary_class_label,salary_lower_bound_yen_exclusive,salary_upper_bound_yen_inclusive,salary_class_topcoded,secondary_payroll_persons,previous_employer_salary_unknown_persons,other_reason_persons,total_not_year_end_adjusted_persons,secondary_payroll_salary_million_yen,previous_employer_salary_unknown_million_yen,other_reason_salary_million_yen,total_salary_million_yen,secondary_payroll_tax_million_yen,previous_employer_salary_unknown_tax_million_yen,other_reason_tax_million_yen,total_tax_million_yen,source_id,source_cells,source_sha256,cell_nature,identification_warning
2024,less_than_year,taxpayer,14,"2,500万円超",25000000,,True,0,0,1528,1528,0,0,58327,58327,0,0,17710,17710,NTA-MINKAN-2024-T19,D20:O20,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,1,100万円以下,,1000000,False,0,95596,846940,942535,0,24101,207122,231223,0,0,0,0,NTA-MINKAN-2024-T19,D22:O22,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,2,200 〃,1000000,2000000,False,0,6707,20215,26922,0,10392,27190,37582,0,0,0,0,NTA-MINKAN-2024-T19,D23:O23,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,3,300 〃,2000000,3000000,False,0,0,165,165,0,0,364,364,0,0,0,0,NTA-MINKAN-2024-T19,D24:O24,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,4,400 〃,3000000,4000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D25:O25,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,5,500 〃,4000000,5000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D26:O26,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,6,600 〃,5000000,6000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D27:O27,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,7,700 〃,6000000,7000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D28:O28,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,8,800 〃,7000000,8000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D29:O29,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,9,900 〃,8000000,9000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D30:O30,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,10,"1,000 〃",9000000,10000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D31:O31,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,nontaxpayer,11,"1,500 〃",10000000,15000000,False,0,0,0,0,0,0,0,0,0,0,0,0,NTA-MINKAN-2024-T19,D32:O32,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
